Number1,Number2,Number3,Number4,Number5,Number6,SpecialNumber
8,12,31,39,43,45,2.4
5,10,11,22,25,27,2.4
18,19,20,26,45,49,2.4
2,11,14,37,40,45,2.4
8,10,15,35,39,49,2.4
24,26,31,35,43,47,2.4
13,20,23,29,38,44,2.4
8,13,15,22,38,47,2.4
3,10,27,29,34,42,2.4
4,5,6,13,23,25,2.4
1,7,13,15,21,39,2.4
2,4,31,38,39,46,2.4
15,18,22,26,33,38,2.4
2,4,11,18,25,48,2.4
2,8,28,31,32,33,2.4
10,13,19,21,32,34,2.4
16,24,25,29,32,36,2.4
10,11,12,31,32,33,2.4
5,16,23,30,32,46,2.4
3,5,11,14,33,48,2.4
4,9,16,19,28,39,2.4
13,19,21,24,30,36,2.4
8,14,24,26,30,33,2.4
1,11,14,25,44,49,2.4
3,6,13,22,27,33,2.4
1,13,19,21,27,35,2.4
2,5,15,20,30,48,2.4
4,19,21,32,34,37,2.4
1,6,17,27,40,44,2.4
8,20,39,41,45,49,2.4
5,16,17,38,40,48,2.4
6,16,21,25,43,48,2.4
5,10,16,18,40,42,2.4
1,15,16,19,47,48,2.4
4,12,30,35,46,48,2.4
2,8,9,12,16,30,2.4
18,22,27,31,35,36,2.4
22,24,37,40,41,45,2.4
1,9,14,27,32,34,2.4
13,21,28,36,39,40,2.4
8,19,28,30,31,47,2.4
1,7,9,14,45,48,2.4
2,6,18,20,40,49,2.4
5,8,14,26,32,44,2.4
11,17,24,35,42,47,2.4
7,12,19,36,42,49,2.4
8,15,24,27,37,46,2.4
2,20,22,36,37,45,2.4
1,24,30,37,47,48,2.4
9,15,29,33,43,44,2.4
12,34,35,43,44,49,2.4
1,15,29,30,31,33,2.4
1,21,22,25,34,47,2.4
2,8,11,39,41,45,2.4
8,26,28,36,43,49,2.4
11,14,19,22,23,25,2.4
5,8,10,26,30,42,2.4
2,6,9,36,38,42,2.4
3,7,9,25,42,48,2.4
4,8,10,32,42,45,2.4
3,15,18,35,42,43,2.4
4,5,9,19,27,32,2.4
13,16,35,40,41,42,2.4
4,28,38,40,45,46,2.4
8,17,22,27,31,41,2.4
1,2,8,17,28,40,2.4
7,16,27,33,41,43,2.4
1,20,41,42,43,44,2.4
13,14,25,29,33,47,2.4
17,23,29,39,41,45,2.4
2,14,22,44,48,49,2.4
3,7,13,15,16,47,2.4
10,11,28,38,48,49,2.4
9,16,21,24,27,35,2.4
1,7,17,18,29,33,2.4
19,21,22,25,36,44,2.4
2,4,22,31,32,43,2.4
4,9,16,26,27,46,2.4
34,35,37,38,39,45,2.4
17,21,27,35,41,49,2.4
30,31,32,41,46,49,2.4
10,16,23,26,30,39,2.4
13,16,18,19,30,35,2.4
9,23,26,29,31,42,2.4
12,16,21,28,36,49,2.4
4,11,14,23,36,44,2.4
8,15,17,33,34,48,2.4
1,2,13,17,37,42,2.4
16,25,31,32,45,49,2.4
5,8,18,21,38,39,2.4
8,10,31,34,39,41,2.4
11,29,31,36,44,45,2.4
6,11,16,18,35,45,2.4
9,21,24,25,33,39,2.4
18,19,32,33,38,45,2.4
1,3,10,34,35,41,2.4
11,13,14,28,29,33,2.4
2,22,23,33,41,43,2.4
17,21,22,27,29,33,2.4
4,19,21,40,42,49,2.4
1,9,11,12,35,46,2.4
8,18,23,44,45,46,2.4
7,11,25,34,37,45,2.4
8,10,11,12,38,44,2.4
17,26,36,41,48,49,2.4
5,7,19,28,45,48,2.4
1,2,26,36,42,44,2.4
4,14,15,22,23,34,2.4
3,11,13,15,31,38,2.4
5,7,14,18,40,48,2.4
9,15,35,37,43,44,2.4
13,26,30,32,45,46,2.4
2,3,13,15,26,31,2.4
3,17,20,32,37,47,2.4
9,16,21,27,36,42,2.4
4,9,16,17,30,38,2.4
5,7,21,36,38,49,2.4
11,16,36,37,41,47,2.4
5,17,20,23,32,34,2.4
12,29,32,34,37,49,2.4
11,12,14,16,19,48,2.4
1,11,17,21,23,38,2.4
10,22,37,39,42,44,2.4
14,26,28,31,36,39,2.4
6,23,25,29,30,34,2.4
5,9,12,29,34,47,2.4
6,9,13,18,35,36,2.4
1,6,12,14,27,45,2.4
6,17,22,34,37,45,2.4
7,14,16,19,20,30,2.4
1,2,4,5,23,36,2.4
8,14,23,26,37,41,2.4
9,22,27,36,45,49,2.4
8,13,20,21,23,26,2.4
8,10,12,27,33,35,2.4
1,18,27,32,33,35,2.4
2,5,10,19,42,46,2.4
12,15,17,26,40,42,2.4
5,12,22,25,36,47,2.4
12,15,25,34,45,46,2.4
22,24,27,30,37,43,2.4
4,8,24,32,34,47,2.4
3,6,16,23,31,35,2.4
5,15,18,28,41,43,2.4
1,14,19,23,44,45,2.4
1,3,10,20,30,46,2.4
9,20,30,37,40,47,2.4
15,18,28,38,40,46,2.4
1,13,14,19,20,44,2.4
14,16,32,35,38,49,2.4
3,6,11,15,27,48,2.4
2,6,7,12,20,47,2.4
3,4,12,20,34,40,2.4
10,12,18,36,39,49,2.4
27,28,33,34,41,44,2.4
2,4,10,16,38,44,2.4
4,10,28,40,43,45,2.4
2,4,22,25,26,40,2.4
13,17,19,22,26,40,2.4
3,6,7,18,20,29,2.4
8,12,13,20,39,46,2.4
9,14,21,25,35,42,2.4
7,18,20,25,29,46,2.4
16,17,21,29,37,48,2.4
34,35,38,39,40,44,2.4
1,14,28,34,41,43,2.4
10,17,20,24,32,33,2.4
3,12,16,22,30,38,2.4
13,15,31,32,38,40,2.4
3,16,17,28,31,49,2.4
10,12,13,21,25,35,2.4
3,13,17,19,20,37,2.4
33,39,41,43,46,48,2.4
7,11,14,20,35,45,2.4
13,14,27,31,35,40,2.4
7,21,23,29,39,43,2.4
3,24,25,29,43,48,2.4
6,10,12,16,20,48,2.4
16,17,18,21,29,38,2.4
8,15,21,22,38,46,2.4
5,17,27,29,31,37,2.4
2,3,6,28,39,41,2.4
4,14,20,34,43,44,2.4
8,11,17,33,35,47,2.4
5,9,10,29,39,41,2.4
21,28,38,40,43,49,2.4
1,13,17,19,36,44,2.4
12,26,36,37,44,46,2.4
6,7,20,27,34,49,2.4
3,7,9,14,17,41,2.4
4,7,30,34,35,47,2.4
11,25,32,34,36,42,2.4
4,10,19,28,41,43,2.4
8,17,30,36,39,49,2.4
6,15,17,20,34,41,2.4
2,12,25,28,37,38,2.4
3,4,5,10,20,22,2.4
1,5,10,14,28,42,2.4
1,7,9,28,33,44,2.4
25,31,32,33,36,46,2.4
4,19,24,42,44,47,2.4
15,18,20,21,25,30,2.4
8,12,13,24,30,37,2.4
5,14,20,23,25,28,2.4
2,3,27,37,38,40,2.4
5,15,27,37,45,48,2.4
6,14,16,26,34,42,2.4
8,16,26,36,40,41,2.4
4,11,14,37,39,46,2.4
3,22,23,28,40,43,2.4
2,5,8,10,14,45,2.4
7,24,33,35,37,40,2.4
7,10,15,31,34,37,2.4
11,14,28,29,36,45,2.4
4,7,16,38,39,47,2.4
10,21,25,31,33,45,2.4
2,22,26,35,38,47,2.4
10,15,27,31,42,44,2.4
7,17,20,26,33,48,2.4
9,25,26,27,33,40,2.4
6,12,16,29,42,44,2.4
1,2,4,9,40,48,2.4
2,7,9,23,26,47,2.4
6,7,17,33,38,48,2.4
5,23,31,44,47,49,2.4
8,13,21,30,35,47,2.4
1,16,28,36,40,46,2.4
12,18,21,22,30,45,2.4
3,4,10,31,47,48,2.4
2,9,11,15,17,48,2.4
13,19,30,31,33,38,2.4
9,13,20,26,31,40,2.4
1,14,17,19,37,39,2.4
1,7,27,30,37,42,2.4
5,7,23,35,40,41,2.4
8,11,12,14,16,30,2.4
4,6,7,13,26,29,2.4
19,32,39,43,45,48,2.4
7,13,18,21,23,24,2.4
4,15,16,19,35,43,2.4
5,7,22,25,34,47,2.4
5,14,21,26,40,44,2.4
5,12,13,23,24,41,2.4
9,18,23,31,38,39,2.4
1,3,32,40,45,47,2.4
4,6,15,27,44,47,2.4
3,7,10,19,24,31,2.4
3,10,13,26,28,39,2.4
1,8,18,19,33,45,2.4
1,16,24,36,42,43,2.4
6,22,23,24,38,47,2.4
5,7,17,19,36,39,2.4
7,27,32,34,36,41,2.4
11,17,32,40,46,48,2.4
6,9,13,20,24,26,2.4
5,17,19,34,40,46,2.4
8,11,18,24,33,40,2.4
21,24,33,36,38,46,2.4
6,16,30,35,37,49,2.4
5,14,20,27,33,41,2.4
3,7,21,25,33,37,2.4
4,6,14,18,39,49,2.4
2,5,8,15,22,28,2.4
14,15,28,36,44,47,2.4
7,11,13,19,42,46,2.4
1,3,12,22,26,32,2.4
28,33,34,38,40,46,2.4
4,6,7,16,22,37,2.4
17,23,29,30,46,49,2.4
2,5,12,16,22,47,2.4
17,24,25,26,33,48,2.4
10,31,32,36,45,46,2.4
14,33,34,38,40,42,2.4
4,5,10,15,32,49,2.4
3,12,24,27,44,45,2.4
6,15,18,35,36,47,2.4
12,18,25,30,32,39,2.4
18,23,25,26,37,40,2.4
10,17,27,31,38,39,2.4
6,7,23,27,31,41,2.4
5,8,22,33,39,48,2.4
5,10,18,29,30,44,2.4
8,9,13,15,23,38,2.4
6,9,30,31,34,39,2.4
1,17,21,22,29,34,2.4
7,9,17,22,28,31,2.4
5,13,39,46,47,48,2.4
1,7,38,40,43,48,2.4
7,28,31,32,33,37,2.4
1,6,10,15,28,32,2.4
14,16,19,37,47,48,2.4
7,17,19,26,28,45,2.4
1,2,11,21,30,43,2.4
4,22,27,38,39,43,2.4
6,16,30,41,43,47,2.4
11,14,24,34,36,44,2.4
3,8,12,14,22,45,2.4
4,9,10,22,31,35,2.4
17,31,37,46,47,49,2.4
4,7,11,12,38,48,2.4
10,20,27,28,29,37,2.4
25,27,29,31,32,46,2.4
25,27,33,41,47,48,2.4
16,21,29,33,43,47,2.4
7,23,27,34,36,47,2.4
5,6,16,23,37,44,2.4
5,14,21,28,47,48,2.4
9,13,19,31,35,40,2.4
5,8,14,16,33,47,2.4
5,6,13,16,20,23,2.4
10,19,20,36,42,45,2.4
11,23,24,26,38,42,2.4
16,25,27,30,38,39,2.4
8,10,11,13,33,41,2.4
4,32,34,44,45,47,2.4
8,17,32,42,43,48,2.4
1,14,20,22,42,49,2.4
2,9,10,14,32,39,2.4
1,10,27,28,38,39,2.4
21,29,34,35,36,37,2.4
6,9,17,24,27,38,2.4
5,7,12,17,21,42,2.4
8,17,20,28,33,39,2.4
2,10,23,28,44,48,2.4
1,27,34,40,44,46,2.4
4,19,22,41,42,46,2.4
13,26,31,38,42,48,2.4
4,8,11,17,28,40,2.4
4,10,15,23,42,48,2.4
20,22,25,26,27,28,2.4
8,9,16,20,22,35,2.4
2,4,6,7,17,44,2.4
14,19,20,36,37,45,2.4
3,19,23,25,29,42,2.4
5,9,15,29,34,38,2.4
1,7,15,26,44,46,2.4
2,3,6,15,22,32,2.4
1,5,17,23,37,48,2.4
2,6,21,38,46,49,2.4
13,18,20,23,27,40,2.4
5,6,9,18,28,37,2.4
16,19,35,38,45,49,2.4
1,17,28,32,36,43,2.4
13,17,20,23,35,38,2.4
1,5,8,21,29,33,2.4
8,19,20,22,27,28,2.4
4,11,12,27,29,48,2.4
1,7,18,33,37,44,2.4
6,10,15,19,34,43,2.4
6,7,12,22,27,35,2.4
1,3,4,26,40,42,2.4
11,15,24,34,39,42,2.4
22,25,31,34,37,42,2.4
6,27,36,38,45,48,2.4
7,8,21,29,35,38,2.4
3,7,9,18,21,24,2.4
7,19,21,33,45,47,2.4
2,24,26,30,42,46,2.4
3,5,9,20,26,33,2.4
1,12,14,16,20,41,2.4
10,11,20,25,42,44,2.4
7,24,26,33,43,49,2.4
4,7,11,24,31,39,2.4
2,12,15,27,40,47,2.4
4,26,28,31,37,42,2.4
2,13,29,36,38,42,2.4
1,5,11,14,35,37,2.4
9,20,27,29,33,45,2.4
11,25,34,42,44,46,2.4
1,17,26,32,34,41,2.4
2,6,8,25,27,33,2.4
3,5,8,31,34,49,2.4
15,17,25,32,41,49,2.4
5,6,26,39,46,47,2.4
7,9,18,44,45,47,2.4
10,14,26,28,32,40,2.4
22,32,33,40,44,45,2.4
6,15,28,36,39,42,2.4
4,13,18,35,44,49,2.4
14,25,26,27,33,46,2.4
8,21,25,29,35,36,2.4
8,20,25,39,43,45,2.4
7,12,21,32,34,42,2.4
12,14,19,25,36,39,2.4
3,9,11,41,45,46,2.4
19,25,27,31,41,48,2.4
1,8,18,23,28,35,2.4
4,12,14,16,32,47,2.4
10,27,28,29,31,47,2.4
2,15,20,41,45,46,2.4
7,18,30,31,33,46,2.4
2,8,13,20,29,39,2.4
15,24,25,32,41,44,2.4
8,19,22,36,38,40,2.4
1,20,21,23,28,31,2.4
4,8,22,32,33,46,2.4
9,19,27,30,41,44,2.4
11,15,17,19,34,35,2.4
13,29,35,36,39,41,2.4
2,4,16,21,35,38,2.4
6,14,21,28,30,34,2.4
3,8,29,30,38,49,2.4
2,4,26,28,29,31,2.4
2,10,16,38,39,47,2.4
2,7,8,20,25,43,2.4
24,27,33,34,38,47,2.4
1,4,10,18,31,39,2.4
10,19,20,29,30,31,2.4
5,10,13,17,24,46,2.4
2,3,18,23,25,37,2.4
7,11,14,15,24,36,2.4
5,6,16,26,36,40,2.4
3,24,25,29,31,45,2.4
6,12,25,31,33,34,2.4
23,31,36,37,38,42,2.4
12,16,17,22,38,42,2.4
1,3,35,38,43,46,2.4
5,6,15,20,22,40,2.4
2,18,24,27,40,45,2.4
9,37,38,46,47,48,2.4
4,15,22,38,39,47,2.4
3,5,12,13,32,47,2.4
3,4,7,18,29,38,2.4
12,21,22,23,37,41,2.4
6,26,30,37,41,45,2.4
19,24,27,28,36,39,2.4
9,13,24,32,34,39,2.4
1,22,26,28,39,44,2.4
27,32,34,44,45,47,2.4
5,7,11,15,16,38,2.4
21,24,37,43,45,46,2.4
4,9,11,17,21,45,2.4
16,30,31,42,45,49,2.4
9,12,18,36,44,45,2.4
12,18,24,34,43,47,2.4
12,26,29,38,43,44,2.4
8,21,25,31,36,49,2.4
10,12,27,30,42,43,2.4
1,4,20,22,30,37,2.4
5,12,21,29,34,37,2.4
2,4,6,17,27,49,2.4
4,9,15,17,43,48,2.4
1,2,7,27,34,41,2.4
15,16,19,27,34,39,2.4
9,12,16,17,26,29,2.4
2,10,15,17,25,47,2.4
14,15,18,21,29,45,2.4
